"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2019","65.04","64.33","65.11","63.84","424.06M","1.69%"
"10/27/2019","63.96","61.85","63.98","59.31","654.22M","3.75%"
"10/20/2019","61.65","59.38","61.68","59.33","405.08M","4.30%"
"10/13/2019","59.10","58.72","59.53","58.30","433.56M","0.08%"
"10/06/2019","59.05","56.57","59.41","56.08","600.62M","4.05%"
"09/29/2019","56.75","55.22","57.06","53.78","653.52M","3.74%"
"09/22/2019","54.71","54.74","55.62","54.29","471.14M","0.50%"
"09/15/2019","54.43","54.43","55.94","54.37","581.41M","-0.47%"
"09/08/2019","54.69","53.71","56.60","52.77","701.47M","2.57%"
"09/01/2019","53.31","51.61","53.60","51.06","330.34M","2.17%"
"08/25/2019","52.19","51.47","52.61","50.83","440.36M","3.01%"
"08/18/2019","50.66","52.65","53.61","50.25","568.27M","-1.87%"
"08/11/2019","51.63","49.90","53.03","49.79","653.06M","2.74%"
"08/04/2019","50.25","49.50","50.88","48.15","692.85M","-1.49%"
"07/28/2019","51.01","52.12","55.34","50.41","879.08M","-1.79%"
"07/21/2019","51.94","50.91","52.43","50.90","348.61M","2.54%"
"07/14/2019","50.65","51.02","51.63","50.59","349.73M","-0.35%"
"07/07/2019","50.83","50.20","51.10","49.60","406.40M","-0.46%"
"06/30/2019","51.06","50.79","51.27","50.16","291.52M","3.19%"
"06/23/2019","49.48","49.63","50.39","48.82","469.48M","-0.43%"
"06/16/2019","49.69","48.22","50.21","48.04","526.64M","3.13%"
"06/09/2019","48.19","47.95","49.20","47.58","447.37M","1.36%"
"06/02/2019","47.54","43.90","47.98","42.57","617.39M","8.61%"
"05/26/2019","43.77","44.73","45.15","43.75","418.77M","-2.18%"
"05/19/2019","44.74","45.88","47.00","44.45","627.88M","-5.31%"
"05/12/2019","47.25","46.93","48.12","45.71","745.66M","-4.15%"
"05/05/2019","49.29","51.07","52.21","48.19","694.65M","-6.88%"
"04/28/2019","52.94","51.10","53.83","49.78","745.82M","3.65%"
"04/21/2019","51.08","50.71","52.12","50.53","389.98M","0.22%"
"04/14/2019","50.97","49.65","51.04","49.50","385.34M","2.51%"
"04/07/2019","49.72","49.10","50.71","49.05","528.03M","0.95%"
"03/31/2019","49.25","47.91","49.28","47.10","446.16M","3.71%"
"03/24/2019","47.49","47.88","48.22","46.15","671.35M","-0.57%"
"03/17/2019","47.76","46.45","49.42","46.18","729.37M","2.64%"
"03/10/2019","46.53","43.87","46.83","43.84","632.53M","7.63%"
"03/03/2019","43.23","43.92","44.44","42.38","467.12M","-1.17%"
"02/24/2019","43.74","43.54","43.97","43.18","483.52M","1.16%"
"02/17/2019","43.24","42.43","43.33","42.37","325.00M","1.50%"
"02/10/2019","42.60","42.76","43.12","42.31","448.92M","0.00%"
"02/03/2019","42.60","41.85","43.89","41.82","605.59M","2.33%"
"01/27/2019","41.63","38.95","42.25","38.41","809.19M","5.55%"
"01/20/2019","39.44","39.10","39.53","37.92","450.06M","0.61%"
"01/13/2019","39.20","37.71","39.47","37.30","621.17M","2.97%"
"01/06/2019","38.07","37.17","38.63","36.48","814.82M","2.73%"
"12/30/2018","37.06","39.63","39.84","35.50","887.85M","-5.12%"
"12/23/2018","39.06","37.04","39.63","36.65","764.64M","3.66%"
"12/16/2018","37.68","41.36","42.09","37.41","1.15B","-8.92%"
"12/09/2018","41.37","41.25","43.14","40.83","870.15M","-1.78%"
"12/02/2018","42.12","46.12","46.23","42.08","670.09M","-5.67%"
"11/25/2018","44.65","43.56","45.70","42.56","855.00M","3.67%"
"11/18/2018","43.07","47.50","47.67","43.02","657.98M","-10.98%"
"11/11/2018","48.38","49.75","49.96","46.48","968.91M","-5.36%"
"11/04/2018","51.12","51.08","52.53","49.54","764.80M","-1.45%"
"10/28/2018","51.87","54.80","55.59","51.36","1.08B","-4.09%"
"10/21/2018","54.08","54.95","56.06","53.17","742.40M","-1.37%"
"10/14/2018","54.83","55.29","55.75","53.25","594.08M","-1.26%"
"10/07/2018","55.53","55.55","56.82","53.08","768.03M","-0.96%"
"09/30/2018","56.07","56.99","58.37","55.15","570.66M","-0.66%"
"09/23/2018","56.44","54.20","56.61","54.16","517.37M","3.73%"
"09/16/2018","54.41","55.54","55.74","53.83","874.98M","-2.77%"
"09/09/2018","55.96","55.24","57.09","54.12","793.00M","1.14%"
"09/02/2018","55.33","57.10","57.42","55.18","530.53M","-2.78%"
"08/26/2018","56.91","54.29","57.22","54.08","650.76M","5.31%"
"08/19/2018","54.04","54.52","54.80","53.46","451.30M","-0.66%"
"08/12/2018","54.40","51.92","54.49","51.92","557.50M","4.86%"
"08/05/2018","51.88","52.00","52.45","51.13","486.57M","-0.23%"
"07/29/2018","52.00","47.98","52.19","47.27","896.76M","8.92%"
"07/22/2018","47.74","47.67","48.99","47.39","378.45M","-0.25%"
"07/15/2018","47.86","47.88","48.16","47.30","351.86M","0.06%"
"07/08/2018","47.83","47.38","47.96","46.90","340.35M","1.79%"
"07/01/2018","46.99","45.95","47.11","45.85","263.10M","1.53%"
"06/24/2018","46.28","45.85","46.82","45.18","486.48M","0.11%"
"06/17/2018","46.23","46.97","47.30","45.86","502.42M","-2.08%"
"06/10/2018","47.21","47.84","48.22","47.06","560.75M","-1.48%"
"06/03/2018","47.92","47.91","48.55","47.44","467.08M","0.76%"
"05/27/2018","47.56","46.90","47.56","46.53","368.52M","0.87%"
"05/20/2018","47.15","47.00","47.41","46.44","377.58M","1.22%"
"05/13/2018","46.58","47.25","47.38","46.27","397.00M","-1.21%"
"05/06/2018","47.15","46.30","47.59","45.92","593.07M","2.59%"
"04/29/2018","45.96","40.53","46.06","40.46","1.01B","13.26%"
"04/22/2018","40.58","41.71","41.73","40.16","648.83M","-2.05%"
"04/15/2018","41.43","43.76","44.73","41.36","676.95M","-5.15%"
"04/08/2018","43.68","42.47","43.96","42.46","512.31M","3.78%"
"04/01/2018","42.09","41.97","43.56","41.12","657.64M","0.33%"
"03/25/2018","41.95","42.02","43.79","41.30","634.12M","1.75%"
"03/18/2018","41.23","44.33","44.37","41.23","690.68M","-7.37%"
"03/11/2018","44.51","45.07","45.88","44.41","621.67M","-1.07%"
"03/04/2018","44.99","43.80","45.00","43.57","559.41M","2.13%"
"02/25/2018","44.05","44.09","45.15","43.11","808.51M","0.39%"
"02/18/2018","43.88","43.01","43.91","42.75","544.83M","1.79%"
"02/11/2018","43.11","39.62","43.70","39.38","901.35M","10.26%"
"02/04/2018","39.10","39.77","40.97","37.56","1.27B","-2.54%"
"01/28/2018","40.12","42.54","42.54","40.02","1.05B","-6.44%"
"01/21/2018","42.88","44.33","44.86","42.52","766.30M","-3.90%"
"01/14/2018","44.62","44.48","45.02","43.77","510.28M","0.79%"
"01/07/2018","44.27","43.59","44.34","43.25","440.79M","1.19%"
"12/31/2017","43.75","42.54","43.84","42.31","404.67M","3.40%"
"12/24/2017","42.31","42.70","42.96","42.30","388.66M","-3.29%"
"12/17/2017","43.75","43.72","44.30","43.31","470.53M","0.60%"
"12/10/2017","43.49","42.30","43.54","42.20","556.59M","2.72%"
"12/03/2017","42.34","43.12","43.16","41.62","549.92M","-0.98%"
"11/26/2017","42.76","43.76","43.77","41.79","680.39M","-2.24%"
"11/19/2017","43.74","42.57","43.88","42.39","324.04M","2.82%"
"11/12/2017","42.54","43.38","43.62","42.09","465.84M","-2.59%"
"11/05/2017","43.67","43.09","44.06","42.93","553.70M","1.28%"
"10/29/2017","43.12","40.97","43.56","40.93","860.71M","5.79%"
"10/22/2017","40.76","39.22","40.90","38.82","489.61M","4.35%"
"10/15/2017","39.06","39.48","40.22","38.76","504.20M","-0.48%"
"10/08/2017","39.25","38.95","39.50","38.77","325.22M","1.08%"
"10/01/2017","38.83","38.56","38.87","38.12","375.14M","0.78%"
"09/24/2017","38.53","37.50","38.68","37.29","619.43M","1.47%"
"09/17/2017","37.97","40.03","40.12","37.64","744.75M","-5.00%"
"09/10/2017","39.97","40.12","40.99","39.48","884.31M","0.78%"
"09/03/2017","39.66","40.94","41.06","39.63","406.91M","-3.29%"
"08/27/2017","41.01","40.03","41.23","39.98","504.51M","2.60%"
"08/20/2017","39.97","39.38","40.19","38.78","450.68M","1.50%"
"08/13/2017","39.38","39.83","40.63","39.18","538.51M","0.03%"
"08/06/2017","39.37","39.27","40.46","38.66","605.08M","0.69%"
"07/30/2017","39.10","37.48","39.94","37.03","691.23M","4.60%"
"07/23/2017","37.38","37.65","38.50","36.83","423.27M","-0.51%"
"07/16/2017","37.57","37.20","37.94","37.14","424.33M","0.83%"
"07/09/2017","37.26","36.03","37.33","35.84","444.35M","3.36%"
"07/02/2017","36.05","36.22","36.33","35.60","316.71M","0.11%"
"06/25/2017","36.01","36.79","37.07","35.57","508.24M","-1.53%"
"06/18/2017","36.57","35.91","36.79","35.91","533.01M","2.81%"
"06/11/2017","35.57","36.44","36.88","35.55","882.12M","-4.48%"
"06/04/2017","37.24","38.59","38.99","36.51","636.64M","-4.17%"
"05/28/2017","38.86","38.35","38.86","38.05","355.01M","1.20%"
"05/21/2017","38.40","38.50","38.73","38.17","413.07M","0.34%"
"05/14/2017","38.27","39.00","39.16","37.43","629.42M","-1.92%"
"05/07/2017","39.02","37.26","39.10","37.26","693.88M","4.78%"
"04/30/2017","37.24","36.27","37.24","36.07","701.41M","3.70%"
"04/23/2017","35.91","35.88","36.23","35.80","364.62M","0.96%"
"04/16/2017","35.57","35.37","35.73","35.11","356.99M","0.88%"
"04/09/2017","35.26","35.90","35.97","35.02","349.94M","-1.62%"
"04/02/2017","35.84","35.93","36.37","35.76","421.66M","-0.19%"
"03/26/2017","35.91","34.85","36.12","34.66","508.04M","2.13%"
"03/19/2017","35.16","35.10","35.70","34.93","518.70M","0.46%"
"03/12/2017","35.00","34.71","35.26","34.70","486.16M","0.63%"
"03/05/2017","34.78","34.84","34.99","34.26","398.69M","-0.49%"
"02/26/2017","34.95","34.28","35.07","34.07","511.75M","2.31%"
"02/19/2017","34.16","34.06","34.37","33.82","351.64M","0.68%"
"02/12/2017","33.93","33.27","34.07","33.19","546.67M","2.72%"
"02/05/2017","33.03","32.28","33.23","32.23","545.80M","2.36%"
"01/29/2017","32.27","30.23","32.62","30.16","999.12M","5.84%"
"01/22/2017","30.49","30.00","30.61","29.88","498.99M","1.63%"
"01/15/2017","30.00","29.59","30.12","29.55","465.39M","0.81%"
"01/08/2017","29.76","29.49","29.98","29.48","555.24M","0.95%"
"01/01/2017","29.48","28.95","29.54","28.69","415.38M","1.83%"
"12/25/2016","28.95","29.13","29.50","28.86","339.31M","-0.62%"
"12/18/2016","29.13","28.95","29.38","28.90","453.29M","0.48%"
"12/11/2016","28.99","28.32","29.18","28.12","780.06M","1.76%"
"12/04/2016","28.49","27.50","28.68","27.06","607.96M","3.68%"
"11/27/2016","27.48","27.86","28.12","27.21","622.00M","-1.68%"
"11/20/2016","27.95","27.53","28.11","27.50","376.53M","1.56%"
"11/13/2016","27.52","26.93","27.64","26.02","793.37M","1.51%"
"11/06/2016","27.11","27.52","27.93","26.46","829.08M","-0.37%"
"10/30/2016","27.21","28.41","28.56","27.03","625.39M","-4.29%"
"10/23/2016","28.43","29.27","29.59","28.33","840.90M","-2.47%"
"10/16/2016","29.15","29.33","29.55","28.45","462.13M","-0.88%"
"10/09/2016","29.41","28.75","29.67","28.68","834.83M","3.12%"
"10/02/2016","28.52","28.18","28.64","28.07","504.12M","0.92%"
"09/25/2016","28.26","27.91","28.66","27.89","625.54M","0.28%"
"09/18/2016","28.18","28.80","29.05","27.89","804.38M","-1.91%"
"09/11/2016","28.73","25.66","29.03","25.63","1.56B","11.44%"
"09/04/2016","25.78","26.98","27.19","25.78","675.21M","-4.27%"
"08/28/2016","26.93","26.66","27.00","26.38","532.00M","0.75%"
"08/21/2016","26.73","27.21","27.33","26.58","494.42M","-2.23%"
"08/14/2016","27.34","27.04","27.56","27.02","529.49M","1.07%"
"08/07/2016","27.05","26.88","27.23","26.79","498.02M","0.67%"
"07/31/2016","26.87","26.10","26.91","26.00","680.60M","3.15%"
"07/24/2016","26.05","24.56","26.14","24.11","1.03B","5.64%"
"07/17/2016","24.66","24.68","25.25","24.58","590.26M","-0.16%"
"07/10/2016","24.70","24.19","24.82","24.18","571.64M","2.19%"
"07/03/2016","24.17","23.85","24.22","23.59","450.82M","0.83%"
"06/26/2016","23.97","23.25","24.12","22.88","741.84M","2.66%"
"06/19/2016","23.35","24.00","24.22","23.16","826.92M","-2.01%"
"06/12/2016","23.83","24.67","24.78","23.82","766.93M","-3.56%"
"06/05/2016","24.71","24.50","25.47","24.39","499.46M","0.94%"
"05/29/2016","24.48","24.90","25.10","24.16","560.71M","-2.43%"
"05/22/2016","25.09","23.97","25.18","23.92","817.89M","5.42%"
"05/15/2016","23.80","23.10","23.86","22.91","850.83M","5.17%"
"05/08/2016","22.63","23.25","23.44","22.37","864.20M","-2.37%"
"05/01/2016","23.18","23.49","23.98","22.96","902.43M","-1.07%"
"04/24/2016","23.43","26.25","26.41","23.13","1.40B","-11.32%"
"04/17/2016","26.42","27.22","27.24","26.16","756.21M","-3.79%"
"04/10/2016","27.46","27.24","28.10","27.16","649.24M","1.10%"
"04/03/2016","27.16","27.61","28.05","27.03","582.89M","-1.24%"
"03/27/2016","27.50","26.50","27.61","26.22","591.86M","4.09%"
"03/20/2016","26.42","26.48","26.91","26.22","479.13M","-0.23%"
"03/13/2016","26.48","25.48","26.62","25.45","728.29M","3.56%"
"03/06/2016","25.57","25.60","25.71","25.04","622.40M","-0.70%"
"02/28/2016","25.75","24.21","25.94","24.16","807.22M","6.27%"
"02/21/2016","24.23","24.08","24.51","23.33","636.21M","0.92%"
"02/14/2016","24.01","23.75","24.72","23.65","673.27M","2.17%"
"02/07/2016","23.50","23.28","24.09","23.15","924.49M","0.00%"
"01/31/2016","23.50","24.12","24.33","23.42","868.62M","-3.45%"
"01/24/2016","24.34","25.38","25.38","23.10","1.52B","-4.02%"
"01/17/2016","25.36","24.60","25.36","23.36","973.54M","4.45%"
"01/10/2016","24.28","24.74","25.30","23.84","1.22B","0.17%"
"01/03/2016","24.24","25.65","26.46","24.11","1.38B","-7.90%"
"12/27/2015","26.32","26.90","27.36","26.20","495.05M","-2.55%"
"12/20/2015","27.01","26.82","27.25","26.39","506.54M","1.89%"
"12/13/2015","26.51","28.05","28.20","26.45","1.26B","-6.33%"
"12/06/2015","28.30","29.75","29.96","28.21","755.42M","-4.91%"
"11/29/2015","29.76","29.50","29.85","28.55","827.06M","1.05%"
"11/22/2015","29.45","29.82","29.93","29.28","438.88M","-1.24%"
"11/15/2015","29.82","27.84","29.98","27.75","759.92M","6.16%"
"11/08/2015","28.09","30.24","30.45","28.07","866.22M","-7.20%"
"11/01/2015","30.27","29.97","30.95","29.90","780.81M","1.31%"
"10/25/2015","29.88","29.52","30.30","28.50","1.29B","0.37%"
"10/18/2015","29.77","27.70","29.81","27.53","888.30M","7.24%"
"10/11/2015","27.76","28.18","28.19","27.39","739.54M","-0.96%"
"10/04/2015","28.03","27.47","28.07","27.05","1.05B","1.59%"
"09/27/2015","27.59","28.46","28.64","26.83","1.26B","-3.80%"
"09/20/2015","28.68","28.42","29.17","28.09","970.78M","1.13%"
"09/13/2015","28.36","29.14","29.22","27.97","1.11B","-0.67%"
"09/06/2015","28.55","27.91","28.55","27.44","1.01B","4.50%"
"08/30/2015","27.32","28.01","28.63","26.84","1.19B","-3.53%"
"08/23/2015","28.32","23.72","28.33","23.00","2.00B","7.11%"
"08/16/2015","26.44","29.01","29.41","26.41","1.28B","-8.80%"
"08/09/2015","28.99","29.13","30.00","27.41","1.38B","0.38%"
"08/02/2015","28.88","30.38","30.64","28.02","1.54B","-4.75%"
"07/26/2015","30.32","30.77","30.98","30.23","766.39M","-2.57%"
"07/19/2015","31.12","32.74","33.24","30.50","1.38B","-3.98%"
"07/12/2015","32.41","31.26","32.41","31.08","756.98M","5.16%"
"07/05/2015","30.82","31.23","31.56","29.80","1.10B","-2.50%"
"06/28/2015","31.61","31.36","31.73","31.12","603.93M","-0.25%"
"06/21/2015","31.69","31.87","32.45","31.63","782.38M","0.13%"
"06/14/2015","31.65","31.52","32.08","31.43","794.10M","-0.44%"
"06/07/2015","31.79","32.23","32.55","31.41","880.46M","-1.15%"
"05/31/2015","32.16","32.80","32.85","32.09","683.36M","-1.26%"
"05/24/2015","32.57","33.15","33.23","32.28","792.59M","-1.69%"
"05/17/2015","33.13","32.09","33.24","32.09","869.19M","2.92%"
"05/10/2015","32.19","31.85","32.37","31.20","833.21M","0.88%"
"05/03/2015","31.91","32.38","32.64","30.84","1.09B","-1.02%"
"04/26/2015","32.24","33.08","33.63","31.14","1.68B","-1.01%"
"04/19/2015","32.57","31.39","32.66","31.29","829.76M","4.42%"
"04/12/2015","31.19","32.09","32.14","31.11","684.74M","-1.83%"
"04/05/2015","31.77","31.12","32.03","31.08","728.83M","1.40%"
"03/29/2015","31.33","31.01","31.62","30.77","648.13M","1.69%"
"03/22/2015","30.81","31.78","32.01","30.65","837.30M","-2.13%"
"03/15/2015","31.48","30.97","32.31","30.72","1.07B","1.88%"
"03/08/2015","30.90","31.99","32.39","30.41","1.31B","-2.37%"
"03/01/2015","31.65","32.31","32.57","31.44","987.75M","-1.46%"
"02/22/2015","32.12","32.51","33.40","31.65","1.47B","-0.77%"
"02/15/2015","32.37","31.87","32.38","31.73","777.42M","1.89%"
"02/08/2015","31.77","29.64","31.87","29.61","1.21B","6.86%"
"02/01/2015","29.73","29.51","30.13","29.02","1.08B","1.50%"
"01/25/2015","29.29","28.43","30.00","27.26","1.86B","3.68%"
"01/18/2015","28.25","26.96","28.44","26.62","794.95M","6.60%"
"01/11/2015","26.50","28.15","28.20","26.30","1.22B","-5.36%"
"01/04/2015","28.00","27.07","28.31","26.16","1.13B","2.45%"
"12/28/2014","27.33","28.45","28.69","26.84","608.35M","-4.11%"
"12/21/2014","28.50","28.04","28.63","27.99","477.59M","1.97%"
"12/14/2014","27.95","27.68","28.31","26.57","1.32B","1.90%"
"12/07/2014","27.43","28.52","28.71","27.34","1.04B","-4.59%"
"11/30/2014","28.75","29.70","29.81","27.82","1.07B","-3.30%"
"11/23/2014","29.73","29.21","29.94","29.16","727.75M","2.09%"
"11/16/2014","29.12","28.57","29.39","28.32","933.66M","2.00%"
"11/09/2014","28.55","27.25","28.55","27.10","820.67M","4.77%"
"11/02/2014","27.25","27.05","27.57","26.93","799.81M","0.93%"
"10/26/2014","27.00","26.21","27.01","26.18","880.92M","2.66%"
"10/19/2014","26.30","24.58","26.37","24.55","1.43B","7.70%"
"10/12/2014","24.42","25.33","25.45","23.80","1.43B","-3.02%"
"10/05/2014","25.18","24.99","25.59","24.58","1.12B","1.08%"
"09/28/2014","24.91","24.66","25.39","24.51","991.00M","-1.11%"
"09/21/2014","25.19","25.45","25.73","24.43","1.36B","-0.20%"
"09/14/2014","25.24","25.70","25.76","24.72","1.19B","-0.67%"